Participant,Item,Condition,R1,R2,R3,R4,R5,R6
13,12,2,1372,2816,1384,1109,1322,675
14,12,1,1607,2236,1514,1901,1373,959
15,12,2,1008,180,942,1557,1198,1057
16,12,1,1792,2242,1888,2068,1546,1062
17,12,2,2256,3982,2201,2715,1585,1118
18,12,1,986,3423,3179,1723,1364,1025
19,12,2,1338,2740,1502,2303,1650,920
20,12,1,1312,3434,3201,2078,1423,789
21,12,2,551,898,1374,743,921,561
22,12,1,1042,3275,1795,1501,1055,737
23,12,2,1105,1713,1272,2129,1541,1135
24,12,1,2271,3276,1910,1127,730,447
25,12,2,1398,3220,440,2159,1253,854
26,12,1,2029,3132,479,357,1037,744
27,12,2,1199,1724,1334,2332,719,151
28,12,1,1430,2550,1720,2197,1260,896
29,12,2,857,1503,1412,1090,1187,471
30,12,1,2800,1057,531,3942,1765,1251
31,12,2,2495,2001,666,2612,1158,630
32,12,1,1025,1998,4693,1687,1367,1558
33,12,2,1417,2012,1492,2148,2214,1664
34,12,1,1205,2337,1523,1496,877,1017
35,12,2,1286,3884,1886,1800,1734,1014
37,12,1,659,3882,546,1337,2019,555
38,12,2,1741,1464,995,605,1374,592
39,12,1,2704,1032,1107,673,810,1621
40,12,2,1315,278,572,962,929,607
41,12,1,1532,2167,1439,1642,910,846
1,13,1,2028,1555,1906,1302,1083,1136
2,13,2,2286,1701,2640,2277,2529,1633
3,13,1,4433,5096,1742,1164,1254,1142
4,13,2,2386,262,2035,2294,2095,1071
5,13,1,1375,1466,1752,2256,1059,842
6,13,2,2093,1587,1173,1327,744,467
7,13,1,2226,2727,1924,2314,1609,1232
8,13,2,2630,3022,3181,3524,2180,1524
9,13,1,2671,1857,2305,223,1337,791
10,13,2,2360,1405,2120,1804,1531,1442
11,13,1,3521,1856,1623,1361,1291,503
12,13,2,1913,1768,2023,1467,1056,789
13,13,1,2017,1290,1694,2403,891,978
14,13,2,2225,1791,2085,2426,1235,468
15,13,1,5263,994,1557,1622,1297,1427
16,13,2,2591,2027,1551,1740,1741,1616
17,13,1,1434,127,1976,5605,1551,159
18,13,2,3477,3048,3714,2387,2608,0
19,13,1,2311,1281,1906,2163,1801,768
20,13,2,2673,1263,1667,3394,1801,1622
21,13,1,1106,665,1006,780,1431,649
22,13,2,1583,2232,1554,915,2995,799
23,13,1,1575,1126,1535,1534,1136,1129
24,13,2,2385,1215,1112,2919,716,525
25,13,1,2385,2113,3418,2213,2426,1346
26,13,2,1943,2354,1147,1153,1243,1026
27,13,1,1318,948,1002,1043,1205,377
28,13,2,3138,1497,2489,2221,1672,1520
29,13,1,1296,1176,1421,1010,1797,860
30,13,2,3524,548,2927,2867,2277,1556
31,13,1,3607,1905,2452,2502,2664,1200
32,13,2,3194,1360,3539,2660,1350,2568
33,13,1,2200,1245,1703,1581,1355,1014
34,13,2,2183,1220,3055,1239,1394,1290
36,13,1,2594,1668,2385,1263,1503,772
