Participant,Item,Condition,R1,R2,R3,R4,R5,R6
12,12,1,0,0,0,0,0,0
13,12,2,0,0,0,0,0,100
14,12,1,0,0,0,0,0,0
15,12,2,0,100,0,0,100,100
16,12,1,0,0,0,0,0,0
17,12,2,0,100,0,0,0,100
18,12,1,0,0,100,0,0,0
19,12,2,0,0,0,0,0,0
20,12,1,0,0,100,0,0,0
21,12,2,0,0,0,100,0,100
22,12,1,0,0,0,0,0,100
23,12,2,0,0,0,0,0,100
24,12,1,0,0,0,0,0,100
25,12,2,0,0,100,0,0,0
26,12,1,0,0,100,100,0,100
27,12,2,0,0,0,0,0,0
28,12,1,0,0,0,0,0,100
29,12,2,0,0,0,0,0,100
30,12,1,0,100,100,0,0,100
31,12,2,0,100,100,0,0,0
32,12,1,0,0,0,0,0,0
33,12,2,0,0,0,0,0,100
34,12,1,0,0,0,0,0,0
35,12,2,0,0,0,0,0,100
37,12,1,0,0,100,0,0,0
38,12,2,0,0,0,0,0,0
39,12,1,0,0,0,0,0,100
40,12,2,0,100,0,0,0,0
41,12,1,0,0,0,0,0,0
1,13,1,0,0,0,0,0,0
2,13,2,0,0,0,0,0,100
3,13,1,0,0,0,0,0,100
4,13,2,0,100,0,0,0,100
5,13,1,0,100,0,0,0,100
6,13,2,0,0,0,0,0,100
7,13,1,0,0,0,0,0,100
8,13,2,0,0,0,0,0,0
9,13,1,0,0,100,100,0,0
10,13,2,0,0,0,0,0,100
11,13,1,0,0,0,0,0,100
12,13,2,0,0,0,0,0,0
13,13,1,0,0,0,0,0,100
14,13,2,0,0,0,0,0,0
15,13,1,0,0,0,0,0,0
16,13,2,0,0,0,0,0,100
17,13,1,0,100,0,0,0,100
18,13,2,0,0,0,0,0,0
19,13,1,0,0,0,0,0,0
20,13,2,0,100,0,0,0,100
21,13,1,0,100,0,0,0,100
22,13,2,0,0,0,0,0,100
23,13,1,0,0,0,0,0,100
24,13,2,0,0,0,0,0,100
25,13,1,0,100,0,0,0,100
26,13,2,0,0,0,0,0,100
27,13,1,0,0,0,0,0,100
28,13,2,0,0,0,0,0,100
29,13,1,0,0,0,0,0,100
30,13,2,0,100,100,0,0,0
31,13,1,0,0,0,0,0,100
32,13,2,0,0,0,0,0,100
33,13,1,0,0,0,0,0,100
34,13,2,0,0,0,0,0,0
36,13,1,0,0,0,0,0,100
37,13,2,0,0,100,0,100,100
38,13,1,0,0,0,0,0,0
39,13,2,0,0,0,0,0,100
40,13,1,0,100,0,0,0,100
41,13,2,0,0,0,0,0,100
1,14,2,0,0,0,0,0,0
2,14,1,0,0,0,0,100,100
3,14,2,0,0,0,0,0,0
4,14,1,0,100,100,0,0,100
5,14,2,0,0,0,0,0,100
6,14,1,0,0,0,0,0,100
7,14,2,0,100,0,0,0,0
8,14,1,0,0,0,0,0,0
9,14,2,0,0,100,0,0,0
10,14,1,0,0,0,0,0,0
11,14,2,0,0,0,0,0,100
12,14,1,0,0,0,0,0,0
