Participant,Item,Condition,R1,R2,R3,R4,R5,R6
12,9,2,1914,2439,1190,2191,955,1307
13,9,1,2719,3833,2633,2715,1223,1529
14,9,2,2383,2851,1728,1453,1038,1107
15,9,1,5583,2374,980,1191,1203,825
16,9,2,1892,1251,2579,2452,1014,788
17,9,1,2449,2762,1932,2666,1940,1170
18,9,2,2701,4971,3056,1495,1118,1710
19,9,1,1038,2541,1479,1235,1027,876
20,9,2,2439,2457,2029,2073,1371,1251
21,9,1,657,1463,969,1916,1957,1390
22,9,2,2821,3688,1949,912,1140,2146
23,9,1,999,1620,925,1352,1310,1481
24,9,2,2515,4463,3711,1074,628,551
25,9,1,1616,3283,2438,1602,1247,1458
26,9,2,967,1856,1380,1069,833,1052
27,9,1,599,1460,912,882,739,838
28,9,2,2029,2886,2329,2946,1258,1201
29,9,1,1344,1645,1233,1710,1282,1472
30,9,2,5837,4455,5572,5799,3728,2160
31,9,1,2068,1682,1530,2056,1636,1394
32,9,2,1101,1837,1006,1472,1180,1945
33,9,1,1110,1997,993,1368,1260,1304
34,9,2,1528,1314,1421,1585,1306,2116
36,9,1,2756,1764,1846,967,800,1237
37,9,2,1973,2813,3367,2446,883,901
38,9,1,1488,1280,1148,599,585,788
39,9,2,791,3076,1807,926,764,498
40,9,1,2115,1549,706,539,532,823
41,9,2,2276,3357,2175,1688,1499,2042
1,10,2,2371,2325,2337,1985,1601,1316
2,10,1,1026,2109,2235,1612,1307,1381
3,10,2,1343,1522,1171,1226,1665,1164
4,10,1,5173,2745,2992,2048,1201,1030
5,10,2,3204,1708,1579,1244,1155,1571
6,10,1,848,1152,585,758,871,783
7,10,2,1040,1134,1064,1077,1358,1742
8,10,1,2848,2372,1499,2335,1886,2578
9,10,2,1124,2680,1180,1315,1386,1352
10,10,1,1592,1648,2355,1442,1353,1448
11,10,2,781,2932,4041,1138,1126,1022
12,10,1,1567,2518,1427,2566,2770,1726
13,10,2,2141,1521,1470,1441,858,1503
14,10,1,2271,1466,1058,1299,1005,650
15,10,2,2279,1902,1149,1182,1592,738
16,10,1,1358,1839,1272,1422,1122,1570
17,10,2,1773,2232,1420,2392,3205,1562
18,10,1,2246,3140,2485,1466,1430,1534
19,10,2,1648,2667,1475,1165,1738,1437
20,10,1,1433,3220,1932,2515,1048,1323
21,10,2,806,1788,1309,1185,1020,676
22,10,1,1540,1372,1406,956,946,2047
23,10,2,1858,1153,1644,1221,1325,2124
24,10,1,1581,2215,1177,1286,1443,1084
25,10,2,1007,1650,1374,1763,1149,1508
26,10,1,906,1196,702,1352,1214,983
27,10,2,744,1231,699,739,983,719
28,10,1,1937,1079,1588,1664,1436,2511
29,10,2,2012,2548,1426,1154,1479,1055
30,10,1,2540,6553,4540,2806,1480,1962
31,10,2,1377,2075,1620,1934,1534,1378
32,10,1,1249,1255,1267,1730,954,1363
33,10,2,1450,2051,1635,1710,1024,1046
34,10,1,1594,3877,1074,1442,860,1114
36,10,2,2293,2070,2325,1959,1503,2437
37,10,1,1667,1179,784,951,1402,954
38,10,2,1068,1392,764,1040,1278,1330
39,10,1,872,2355,2018,936,1026,847
40,10,2,649,937,1254,1099,894,512
41,10,1,1416,1557,1607,987,1174,1890
1,11,1,4074,2937,3731,1880,1120,1384
2,11,2,3168,13848,2576,1719,853,1242
3,11,1,4239,5006,1433,1526,946,922
4,11,2,3199,3025,1846,1856,712,610
5,11,1,5237,5741,975,1059,713,855
6,11,2,1768,2073,1025,1049,714,1405
7,11,1,4534,4098,1958,1394,1012,1791
8,11,2,1472,2124,1902,3486,950,1350
9,11,1,2347,1673,1893,1151,881,1784
10,11,2,2354,3661,1979,1450,760,1276
11,11,1,1445,2787,1606,1282,2199,758
12,11,2,1327,1267,1745,1766,927,806
13,11,1,1769,3891,3072,1713,736,1435
14,11,2,1247,2009,1397,895,705,764
15,11,1,5060,2239,1435,1438,1363,1189
16,11,2,2031,1417,1814,2501,1103,2116
17,11,1,3559,3910,1848,1571,1172,1355
18,11,2,2110,1958,1721,1213,1121,1707
19,11,1,3512,2461,1808,1553,1633,2549
20,11,2,1509,2173,1821,2165,1017,983
21,11,1,1448,1930,1687,1214,1417,685
22,11,2,1916,1474,981,1152,1020,903
23,11,1,1401,3369,2619,1048,786,806
24,11,2,2369,2819,1162,1676,587,763
25,11,1,1462,2555,1835,1553,925,1737
26,11,2,2962,2752,2085,1177,1200,1460
27,11,1,1731,2434,1338,797,666,1711
28,11,2,1155,2616,1069,2145,832,1422
29,11,1,1370,1229,1459,753,802,1460
30,11,2,6070,11622,2720,3401,961,1530
31,11,1,2148,1656,3049,1719,751,1049
32,11,2,3217,3220,1616,1681,1277,2308
33,11,1,1623,1740,1702,1579,857,1404
34,11,2,2009,3280,1703,1565,918,1094
35,11,1,2200,2222,2618,1974,1123,1282
37,11,2,3334,3169,1804,1789,436,161
38,11,1,1672,1358,1143,2039,743,916
39,11,2,2096,1727,747,820,885,742
40,11,1,3599,1316,784,1165,467,909
41,11,2,2259,2083,1583,1485,899,950
1,12,2,2240,3499,1514,1629,1722,566
2,12,1,3278,4393,2976,3215,1802,979
3,12,2,3185,2460,762,1344,1134,529
4,12,1,2459,2794,1437,1711,900,365
5,12,2,3359,5711,2024,2132,1845,980
6,12,1,757,1465,1014,1100,877,160
7,12,2,3198,4222,3917,3314,1386,1659
8,12,1,2673,3956,3363,2915,1567,1318
9,12,2,1772,2425,1629,1115,1108,0
10,12,1,1396,3412,2632,1936,833,935
11,12,2,3082,11222,5282,2979,1699,686
12,12,1,851,2050,1257,1503,878,1044
13,12,2,1815,2816,1384,1109,1322,675
14,12,1,1607,2236,1514,1901,1373,959
15,12,2,4620,3142,942,1557,1351,1057
16,12,1,1792,2242,1888,2068,1546,1062
17,12,2,4029,6657,2201,2921,1585,1512
18,12,1,2372,6085,4267,1723,1364,1025
19,12,2,1338,2740,1502,2303,1650,920
20,12,1,2241,5757,3394,2078,1423,789
21,12,2,879,1056,1374,1446,1114,876
22,12,1,1042,3275,2150,1501,1419,737
23,12,2,1105,1713,1272,2129,1990,1135
24,12,1,3009,4493,2447,1127,730,447
25,12,2,1871,3220,1973,2159,1253,854
26,12,1,2498,3309,2360,2051,1037,744
27,12,2,1199,1724,1334,2332,719,151
28,12,1,2297,3040,1720,2197,1260,896
29,12,2,1806,1503,1412,1502,1379,471
30,12,1,4968,11467,3547,3942,1765,1251
31,12,2,4130,5331,3290,2612,1158,630
32,12,1,1025,1998,4693,1687,1367,1558
33,12,2,1417,2501,1492,2624,2568,1664
34,12,1,1205,2337,1523,1496,877,1017
35,12,2,1286,4030,1886,1800,1883,1392
37,12,1,921,4043,1742,1337,2019,555
38,12,2,1741,1464,995,605,1374,592
39,12,1,2704,1032,1107,1025,1135,1621
40,12,2,1733,1157,572,962,929,607
41,12,1,1532,2167,1439,1642,910,846
1,13,1,2028,1555,1906,1302,1083,1136
2,13,2,2286,1701,2640,2277,3240,1633
3,13,1,4433,5096,1980,1164,1254,1142
4,13,2,2607,1800,2194,2949,2095,1071
5,13,1,2458,2201,1752,2256,1365,842
6,13,2,3055,1587,1173,1327,744,467
7,13,1,2471,3221,1924,2314,1609,1650
8,13,2,2630,3022,3181,3524,2180,1524
9,13,1,3958,2864,3168,3014,1337,791
10,13,2,2360,1534,2120,1804,1531,1442
11,13,1,3745,2397,1623,1361,1772,503
12,13,2,1913,1768,2023,1467,1056,789
13,13,1,2017,1418,2673,2403,1072,978
14,13,2,2225,1791,2085,2426,1235,468
15,13,1,5263,994,1557,1622,1297,1427
16,13,2,2888,2140,1551,1740,1741,1616
17,13,1,2457,1977,1976,5605,1825,2213
18,13,2,3477,3048,3714,2387,2608,951
19,13,1,2311,1281,1906,2163,1801,768
20,13,2,4643,4307,1667,3394,1801,1622
21,13,1,1524,826,1121,780,2020,978
22,13,2,1897,2232,1554,915,2995,799
23,13,1,2177,1371,1535,2405,2468,2180
24,13,2,2572,1739,1112,2919,716,700
25,13,1,5027,3107,3418,2401,3340,1454
26,13,2,1943,2354,1147,1297,1243,1026
27,13,1,1780,948,1002,1043,1525,1022
28,13,2,4415,1994,3631,2359,1672,1520
29,13,1,1574,1176,1640,1010,2235,860
30,13,2,6910,4813,4652,2867,2277,1556
31,13,1,3607,1905,2452,2502,2935,1200
32,13,2,3975,1360,3539,2660,2153,2568
33,13,1,2200,1438,1703,1581,1923,1014
34,13,2,2183,1220,3055,1239,1394,1290
36,13,1,2594,1668,2385,1263,1818,772
37,13,2,4056,2780,2841,3498,2585,1298
38,13,1,1662,1448,1618,933,1219,374
39,13,2,2135,4179,1895,891,2329,1019
40,13,1,2764,666,1232,658,928,787
41,13,2,2535,1776,2128,1158,2128,1183
1,14,2,1099,1670,1541,2017,1184,902
2,14,1,2242,3039,4806,4985,805,732
3,14,2,1749,1436,1857,1084,1223,983
4,14,1,3635,4538,2017,1603,1523,708
5,14,2,1736,1694,1703,1208,1700,815
6,14,1,1003,1082,712,622,838,425
7,14,2,2191,999,1108,1167,1153,2116
8,14,1,2052,1520,2168,2054,1374,1174
9,14,2,1347,3104,2132,1143,1010,1093
10,14,1,1261,1399,1634,1462,1118,667
11,14,2,3910,2556,4905,3386,2451,892
12,14,1,1311,1627,1546,1346,844,824
13,14,2,2485,1918,1694,1807,1605,1234
14,14,1,1754,1266,1632,708,1479,1434
15,14,2,4149,1450,2707,2301,2725,1024
16,14,1,1510,1215,1797,1645,1086,1371
17,14,2,2509,1502,1685,2058,2362,1791
18,14,1,3780,1248,1534,1482,1705,1710
19,14,2,3228,1714,4216,2471,2177,2167
20,14,1,2378,2047,2003,2021,1404,910
21,14,2,900,619,1697,1965,744,499
22,14,1,4039,2009,1689,2570,2320,1268
23,14,2,1356,1697,1909,1464,1430,2823
24,14,1,4162,2761,1263,721,1135,1061
25,14,2,1973,1604,2142,2654,1389,862
26,14,1,1857,2017,1117,848,1369,1802
27,14,2,1123,684,1127,1458,1436,1439
28,14,1,1985,1757,3541,2885,1630,891
29,14,2,463,886,1680,1655,590,2227
30,14,1,6566,2203,5136,3413,2551,2054
31,14,2,2266,1811,2344,1833,1643,841
32,14,1,1075,1089,1349,1305,904,984
33,14,2,2116,2085,1224,1689,2307,3230
34,14,1,1776,1534,2082,1952,706,1758
35,14,2,2946,3452,4600,3798,3073,2613
37,14,1,1459,1429,1205,1460,1562,1744
38,14,2,1563,1007,1437,1109,987,487
39,14,1,2100,1166,817,889,926,1669
40,14,2,1654,641,948,782,549,377
